Account,End Customer Name,Site Name,IMSI,IMEI,APN,Attribute Value: FWD,Attribute Value: RTN,Attribute Value: AF,Attribute Value: AF FWD,Attribute Value: AF RTN,Attribute Value: EF,Attribute Value: EF RTN,Attribute Value: EF FWD,Attribute Value: BE,Attribute Value: BE FWD,Attribute Value: BE RTN,Attribute Value: Service Grade,Geolocation,Order: Order Number,Order Line Item: Line Item Id,Site Connectivity ID,Network Slice ID,Interconnect ID,Product,Static IP Address,Attribute Value: Site Connectivity,Network Slice ID,Actual Activation Date,Target Activation Date,Selling Term,Attribute Value: Budgeted Mbps
Galaxy Broadband Communications Inc,DeBeers Gahcho Kue,DeBeers Gahcho Kue mine site,901600000001045,351554110003424,galaxy.ipa.mnc060.mcc901.gprs,75,15,0,0,0,0,0,0,18,15,3,Gold,"63.4347, -109.2005528",O-00000167,OI-0000000586,SC-0000000551,NS-0000000328,IC-0000000329,TRIAL Classic 75/15/UG,199.182.119.253,IP Access,Network Slice,"21/03/2022, 12:00",21-03-2022,3,18
Galaxy Broadband Communications Inc,DeBeers Gahcho Kue,DeBeers Gahcho Kue mine site,901600000001045,351554110003424,galaxy.ipa.mnc060.mcc901.gprs,75,15,0,0,0,0,0,0,18,15,3,Gold,"63.4347, -109.2005528",O-00000236,OI-0000000821,SC-0000000551,NS-0000000328,IC-0000000329,TRIAL Classic 75/15/UG,199.182.119.253,IP Access,Network Slice,,21-03-2022,1.74194,18
Galaxy Broadband Communications Inc,Galaxy Broadband,Galaxy Edmonton,901600000001289,351554110000974,galaxy.ipa.mnc060.mcc901.gprs,50,10,0,0,0,0,0,0,6,5,1,Silver,"53.51357, -113.43428",O-00000044,OI-0000000188,SC-0000000131,NS-0000000130,IC-0000000129,Trial GBA-ENT 50/10US (Unlimited Silver),,IP Access,Network Slice,"23/12/2021, 19:00",17-11-2021,1,12
TrustComm d/b/a OneWeb Technologies,20124495-5,"Dulles, Va",901600000001054,351554110003366,owt.ipa.mnc060.mcc901.gprs,50,10,0,0,0,0,0,0,12,10,2,Gold,"39.03, -77.41",O-00000244,OI-0000000844,SC-0000000785,NS-0000000128,IC-0000000126,TRIAL Classic 50/10/UG,10.77.0.11,IP Access,Network Slice,"23/05/2022, 19:00",23-05-2022,1,12
TrustComm d/b/a OneWeb Technologies,20124467-2,Hagerstown-2,901600000001400,351554110001428,owt.ipa.mnc060.mcc901.gprs,50,10,0,0,0,0,0,0,12,10,2,Gold,"39.59, -77.75",O-00000090,OI-0000000351,SC-0000000289,NS-0000000128,IC-0000000126,TRIAL Classic 50/10/UG,,IP Access,Network Slice,"07/02/2022, 20:00",07-02-2022,3,12
TrustComm d/b/a OneWeb Technologies,20124467-1,Hagerstown-1,901600000000122,351554110001436,owt.ipa.mnc060.mcc901.gprs,50,10,0,0,0,0,0,0,12,10,2,Gold,"39.59, -77.75",O-00000089,OI-0000000349,SC-0000000287,NS-0000000128,IC-0000000126,TRIAL Classic 50/10/UG,,IP Access,Network Slice,"07/02/2022, 19:15",07-02-2022,3,12
TrustComm d/b/a OneWeb Technologies,20124515-1,"Redmond, WA",901600000001385,351554110001295,owt.ipa.mnc060.mcc901.gprs,50,10,0,0,0,0,0,0,12,10,2,Gold,"47.42, -122.09",O-00000232,OI-0000000811,SC-0000000759,NS-0000000162,IC-0000000160,TRIAL Classic 50/10/UG,10.250.100.14,IP Access,Network Slice,"18/05/2022, 19:00",13-05-2022,3,12
TrustComm d/b/a OneWeb Technologies,20124475,Prudhoe,901600000001292,351554110001030,owt.ipa.mnc060.mcc901.gprs,50,10,0,0,0,0,0,0,12,10,2,Gold,"71.47, -148.37",O-00000102,OI-0000000382,SC-0000000320,NS-0000000162,IC-0000000160,TRIAL Classic 50/10/UG,10.252.16.100,IP Access,Network Slice,"17/02/2022, 14:15",16-02-2022,1,12
TrustComm d/b/a OneWeb Technologies,20124469,"Biddinghuizen, NE",901600000001273,351554110001154,owt.ipa.mnc060.mcc901.gprs,50,10,0,0,0,0,0,0,12,10,2,Gold,"52.46, 5.7",O-00000206,OI-0000000715,SC-0000000665,NS-0000000421,IC-0000000419,TRIAL Classic 50/10/UG,10.250.100.13,IP Access,Network Slice,"12/04/2022, 19:00",12-04-2022,3,12
TrustComm d/b/a OneWeb Technologies,20124483-4,"Boblingen, Germany",901600000001095,351554110003978,owt.ipa.mnc060.mcc901.gprs,50,10,0,0,0,0,0,0,12,10,2,Gold,"48.68, 9.04",O-00000201,OI-0000000704,SC-0000000654,NS-0000000421,IC-0000000419,TRIAL Classic 50/10/UG,10.250.100.12,IP Access,Network Slice,"09/04/2022, 19:00",09-04-2022,1,12
TrustComm d/b/a OneWeb Technologies,20124483-3,"Lask, Poland",901600000001134,351554110004042,owt.ipa.mnc060.mcc901.gprs,50,10,0,0,0,0,0,0,12,10,2,Gold,"51.55, 19.18",O-00000197,OI-0000000696,SC-0000000646,NS-0000000421,IC-0000000419,TRIAL Classic 50/10/UG,10.250.100.11,IP Access,Network Slice,"01/04/2022, 19:00",04-04-2022,3,12
TrustComm d/b/a OneWeb Technologies,20124483-2,"Šiauliai, Lithuania",901600000001003,351554110005346,owt.ipa.mnc060.mcc901.gprs,50,10,0,0,0,0,0,0,12,10,2,Gold,"55.56, 23.17",O-00000196,OI-0000000694,SC-0000000644,NS-0000000421,IC-0000000419,TRIAL Classic 50/10/UG,10.250.100.10,IP Access,Network Slice,"01/04/2022, 19:00",01-04-2022,3,12
TrustComm d/b/a OneWeb Technologies,L3HT,Salt Lake,901600000000108,351554110001352,owt.ipa.mnc060.mcc901.gprs,75,15,0,0,0,0,0,0,18,15,3,Gold,"40.76, -111.88",O-00000091,OI-0000000353,SC-0000000291,NS-0000000162,IC-0000000160,TRIAL Classic 75/15/UG,,IP Access,Network Slice,"20/02/2022, 20:00",20-02-2022,3,18
TrustComm d/b/a OneWeb Technologies,OWT Beta Test Terminal,Ft Belvoir Beta,901600000000086,351554110000891,owt.ipa.mnc060.mcc901.gprs,75,15,0,0,0,0,0,0,90,75,15,Palladium,"38.72, 77.15",O-00000056,OI-0000000215,SC-0000000158,NS-0000000128,IC-0000000126,Trial IPC 75/15/UPD,,IP Access,Network Slice,"21/12/2021, 11:00",04-10-2021,3,90
TrustComm d/b/a OneWeb Technologies,Customer 38,38 Special,901600000001334,351554110000560,owt.ipa.mnc060.mcc901.gprs,75,15,0,0,0,0,0,0,90,75,15,Palladium,"38.526, -77.444",O-00000055,OI-0000000213,SC-0000000156,NS-0000000128,IC-0000000126,Trial IPC 75/15/UPD,,IP Access,Network Slice,"15/12/2021, 00:00",12-08-2021,3,90
TrustComm d/b/a OneWeb Technologies,OWT,"Hagerstown, MD",901600000000053,351554110001287,owt.ipa.mnc060.mcc901.gprs,75,15,0,0,0,0,0,0,90,75,15,Palladium,"39.5992, -77.7592",O-00000054,OI-0000000211,SC-0000000154,NS-0000000128,IC-0000000126,Trial IPC 75/15/UPD,,IP Access,Network Slice,"17/12/2021, 15:30",24-10-2021,3,90
TrustComm d/b/a OneWeb Technologies,OWT-DP1,DP1-Dulles,901600000001222,351554110003937,owt.ipa.mnc060.mcc901.gprs,75,15,0,0,0,0,0,0,90,75,15,Palladium,"39.023, -77.4106",O-00000053,OI-0000000209,SC-0000000152,NS-0000000128,IC-0000000126,Trial IPC 75/15/UPD,,IP Access,Network Slice,"21/12/2021, 19:15",27-10-2021,3,90
TrustComm d/b/a OneWeb Technologies,El Camino,Carlsbad,901600000001385,351554110001295,owt.ipa.mnc060.mcc901.gprs,75,15,0,0,0,0,0,0,90,75,15,Palladium,"33.1591, -117.3431",O-00000235,OI-0000000819,SC-0000000242,NS-0000000162,IC-0000000160,Trial IPC 75/15/UPD,,IP Access,Network Slice,,20-02-2022,3.92143,90
TrustComm d/b/a OneWeb Technologies,El Camino,Carlsbad,901600000001385,351554110001295,owt.ipa.mnc060.mcc901.gprs,75,15,0,0,0,0,0,0,90,75,15,Palladium,"33.1591, -117.3431",O-00000077,OI-0000000303,SC-0000000242,NS-0000000162,IC-0000000160,Trial IPC 75/15/UPD,,IP Access,Network Slice,"20/02/2022, 20:00",20-02-2022,3,90
TrustComm d/b/a OneWeb Technologies,OWT-DP1,OWT DP1-AK1,901600000000171,351554110000826,owt.ipa.mnc060.mcc901.gprs,75,15,0,0,0,0,0,0,90,75,15,Palladium,"64.84041, -147.70238",O-00000057,OI-0000000220,SC-0000000163,NS-0000000162,IC-0000000160,Trial IPC 75/15/UPD,,IP Access,Network Slice,"11/01/2022, 17:00",15-12-2021,3,90
TrustComm d/b/a OneWeb Technologies,OWT-DP1,OWT DP1-AK3,901600000001384,351554110000578,owt.ipa.mnc060.mcc901.gprs,75,15,0,0,0,0,0,0,90,75,15,Palladium,"64.84041, -147.70238",O-00000059,OI-0000000224,SC-0000000167,NS-0000000162,IC-0000000160,Trial IPC 75/15/UPD,,IP Access,Network Slice,"11/01/2022, 19:45",15-11-2021,3,90
TrustComm d/b/a OneWeb Technologies,OWT-DP1,OWT DP1-AK2,901600000000177,351554110000735,owt.ipa.mnc060.mcc901.gprs,75,15,0,0,0,0,0,0,90,75,15,Palladium,"64.84041, -147.70238",O-00000058,OI-0000000222,SC-0000000165,NS-0000000162,IC-0000000160,Trial IPC 75/15/UPD,,IP Access,Network Slice,"11/01/2022, 19:45",15-11-2021,3,90
TrustComm d/b/a OneWeb Technologies,OWT Germany Demo,Stuttgart,901600000000080,351554110002004,owt.ipa.mnc060.mcc901.gprs,75,15,0,0,0,0,0,0,90,75,15,Palladium,"48.6819, 9.1996",O-00000062,OI-0000000239,SC-0000000182,NS-0000000177,IC-0000000178,Trial IPC 75/15/UPD,,IP Access,Network Slice,"21/12/2021, 19:45",01-12-2021,3,90
TrustComm d/b/a OneWeb Technologies,SJA,SJA Germany,901600000001396,351554110001139,owt.ipa.mnc060.mcc901.gprs,75,15,0,0,0,0,0,0,90,75,15,Palladium,"48.6819, 9.1996",O-00000061,OI-0000000237,SC-0000000180,NS-0000000177,IC-0000000178,Trial IPC 75/15/UPD,,IP Access,Network Slice,"15/12/2021, 20:00",01-12-2021,3,90
TrustComm d/b/a OneWeb Technologies,20124483,"Bodo, Norway",901600000000153,351554110001121,owt.ipa.mnc060.mcc901.gprs,75,15,0,0,0,0,0,0,90,75,15,Palladium,"67.16, 14.24",O-00000154,OI-0000000524,SC-0000000489,NS-0000000421,IC-0000000419,Trial IPC 75/15/UPD,,IP Access,Network Slice,"08/03/2022, 12:00",08-03-2022,1,90
TrustComm d/b/a OneWeb Technologies,20124579-1,"Wheeling, WV",901600000001309,351554110000750,owt.ipa.mnc060.mcc901.gprs,50,10,0,0,0,0,0,0,0,0,0,Bronze,"39.77, -80.69",O-00000231,OI-0000000807,SC-0000000755,NS-0000000128,IC-0000000126,Entry 50/10/250B,10.250.100.15,IP Access,Network Slice,"13/05/2022, 19:00",12-05-2022,12,2.38
Alaska Communications Internet LLC,ORD-84582-X4W0Y5,King Cove 35696669,901600000001142,351554110003176,acs.ba.mnc060.mcc901.gprs,15,3,0,0,0,0,0,0,3.6,3,0.6,Gold,"55.059239, -162.313686",O-00000226,OI-0000000795,SC-0000000745,NS-0000000125,IC-0000000123,Classic 15/3/UG,209.112.164.13,IP Access,Network Slice,"02/05/2022, 11:00",02-05-2022,12,3.6
Alaska Communications Internet LLC,ACS Test,Anchorage Demo,901600000000151,351554110001451,acs.ba.mnc060.mcc901.gprs,50,10,0,0,0,0,0,0,12,10,2,Gold,"61.186108, -149.870407",O-00000088,OI-0000000347,SC-0000000285,NS-0000000125,IC-0000000123,TRIAL AC Classic 50/10/UG,,IP Access,Network Slice,"09/02/2022, 20:00",26-01-2022,3,12
Alaska Communications Internet LLC,ORD-84394-B2Q4C5,Unalaska 35706645,901600000001232,351554110003903,acs.ba.mnc060.mcc901.gprs,50,10,0,0,0,0,0,0,12,10,2,Gold,"53.878332, -166.539919",O-00000140,OI-0000000466,SC-0000000431,NS-0000000125,IC-0000000123,TRIAL Classic 50/10/UG,209.112.164.7,IP Access,Network Slice,"25/02/2022, 20:00",18-02-2022,3,12
Alaska Communications Internet LLC,ORD-107927-C5G3M9,Aniak,901600000000168,351554110001717,acs.ba.mnc060.mcc901.gprs,25,5,0,0,0,0,0,0,6,5,1,Gold,"61.5806, -159.5341",O-00000224,OI-0000000787,SC-0000000737,NS-0000000125,IC-0000000123,Classic 25/5/UG,209.112.164.23,IP Access,Network Slice,,30-05-2022,12,6
Alaska Communications Internet LLC,ORD-80613-T9C8Y4,King Salmon,901600000001315,351554110000834,acs.ba.mnc060.mcc901.gprs,25,5,0,0,0,0,0,0,6,5,1,Gold,"58.728068, -156.816433",O-00000237,OI-0000000826,SC-0000000767,NS-0000000125,IC-0000000123,Classic 25/5/UG,,IP Access,Network Slice,,05-05-2022,12,6
Alaska Communications Internet LLC,ORD-80838-Z3F5Y5,Saint Michael,,,,5,1,0,0,0,0,0,0,1.2,1,0.2,Gold,"63.477604, -162.029916",O-00000242,OI-0000000839,SC-0000000780,NS-0000000125,IC-0000000123,Classic 5/1/UG,,IP Access,Network Slice,,10-06-2022,12,1.2
Alaska Communications Internet LLC,ORD-99393-M5F9G5,Red Dog Port,901600000000877,351554110020592,acs.ba.mnc060.mcc901.gprs,75,15,27,22.5,4.5,18,9,9,45,37.5,7.5,Palladium,"67.577846, -164.057884",O-00000221,OI-0000000781,SC-0000000731,NS-0000000125,IC-0000000123,Dedicated 75/15/UP,209.112.164.21,IPVPN,Network Slice,"05/05/2022, 09:15",05-05-2022,12,90
Alaska Communications Internet LLC,ORD-76450-X2M2K0,Kobuk,901600000001191,351554110003218,acs.ba.mnc060.mcc901.gprs,75,15,27,22.5,4.5,18,9,9,45,37.5,7.5,Palladium,"66.90775, -156.882583",O-00000215,OI-0000000756,SC-0000000706,NS-0000000125,IC-0000000123,Dedicated 75/15/UP,209.112.164.14,IPVPN,Network Slice,"17/04/2022, 11:00",17-04-2022,10,90
Alaska Communications Internet LLC,ORD-76450-X2M2K0,Kivalina,901600000001194,351554110003119,acs.ba.mnc060.mcc901.gprs,75,15,27,22.5,4.5,18,9,9,45,37.5,7.5,Palladium,"67.726942, -164.537642",O-00000215,OI-0000000754,SC-0000000704,NS-0000000125,IC-0000000123,Dedicated 75/15/UP,209.112.164.17,IPVPN,Network Slice,"17/04/2022, 11:00",17-04-2022,10,90
Alaska Communications Internet LLC,ORD-76450-X2M2K0,Kiana,901600000001080,351554110002996,acs.ba.mnc060.mcc901.gprs,75,15,27,22.5,4.5,18,9,9,45,37.5,7.5,Palladium,"66.971667, -160.430278",O-00000215,OI-0000000752,SC-0000000702,NS-0000000125,IC-0000000123,Dedicated 75/15/UP,209.112.164.10,IPVPN,Network Slice,"17/04/2022, 11:00",17-04-2022,10,90
Alaska Communications Internet LLC,ORD-76450-X2M2K0,Ambler,901600000001036,351554110004547,acs.ba.mnc060.mcc901.gprs,50,10,18,15,3,12,6,6,30,25,5,Palladium,"67.086523, -157.861293",O-00000215,OI-0000000746,SC-0000000696,NS-0000000125,IC-0000000123,Dedicated 50/10/UP,209.112.164.15,IPVPN,Network Slice,"17/04/2022, 11:00",17-04-2022,10,60
Alaska Communications Internet LLC,ORD-76450-X2M2K0,Deering,901600000000961,351554110004588,acs.ba.mnc060.mcc901.gprs,50,10,18,15,3,12,6,6,30,25,5,Palladium,"66.0788, -162.734914",O-00000215,OI-0000000750,SC-0000000700,NS-0000000125,IC-0000000123,Dedicated 50/10/UP,209.112.164.16,IPVPN,Network Slice,"17/04/2022, 11:00",17-04-2022,10,60
Alaska Communications Internet LLC,ORD-99391-N5B4S9,Red Dog Mine,901600000001012,351554110004505,acs.ba.mnc060.mcc901.gprs,100,20,36,30,6,24,12,12,60,50,10,Palladium,"68.071207, -162.852775",O-00000222,OI-0000000783,SC-0000000733,NS-0000000125,IC-0000000123,Dedicated 100/20/UP,209.112.164.20,IPVPN,Network Slice,"05/05/2022, 09:30",05-05-2022,12,120
Alaska Communications Internet LLC,ORD-76450-X2M2K0,Noatak,901600000001156,351554110004620,acs.ba.mnc060.mcc901.gprs,100,20,36,30,6,24,12,12,60,50,10,Palladium,"67.569597, -162.968117",O-00000215,OI-0000000762,SC-0000000712,NS-0000000125,IC-0000000123,Dedicated 100/20/UP,209.112.164.12,IPVPN,Network Slice,"17/04/2022, 11:00",17-04-2022,10,120
Alaska Communications Internet LLC,ORD-76450-X2M2K0,Selawik,901600000001011,351554110004331,acs.ba.mnc060.mcc901.gprs,100,20,36,30,6,24,12,12,60,50,10,Palladium,"66.606839, -160.014833",O-00000215,OI-0000000760,SC-0000000710,NS-0000000125,IC-0000000123,Dedicated 100/20/UP,209.112.164.18,IPVPN,Network Slice,"17/04/2022, 11:00",17-04-2022,10,120
Alaska Communications Internet LLC,ORD-76450-X2M2K0,Buckland,901600000001284,351554110001840,acs.ba.mnc060.mcc901.gprs,100,20,36,30,6,24,12,12,60,50,10,Palladium,"65.977797, -161.130056",O-00000215,OI-0000000748,SC-0000000698,NS-0000000125,IC-0000000123,Dedicated 100/20/UP,209.112.164.19,IPVPN,Network Slice,"17/04/2022, 11:00",17-04-2022,10,120
Alaska Communications Internet LLC,ORD-76450-X2M2K0,Noorvik,901600000001089,351554110003002,acs.ba.mnc060.mcc901.gprs,100,20,36,30,6,24,12,12,60,50,10,Palladium,"66.833224, -161.045398",O-00000215,OI-0000000758,SC-0000000708,NS-0000000125,IC-0000000123,Dedicated 100/20/UP,209.112.164.11,IPVPN,Network Slice,"17/04/2022, 11:00",17-04-2022,10,120
Alaska Communications Internet LLC,ORD-111051-R9D6Z9,Prudhoe 1930302,901600000001022,351554110003051,,75,15,0,0,0,0,0,0,18,15,3,Gold,"68.761254, -148.874615",O-00000243,OI-0000000842,SC-0000000783,NS-0000000125,IC-0000000123,Classic 75/15/UG,,IP Access,Network Slice,,30-05-2022,5,18
Alaska Communications Internet LLC,ORD-105027-L5Y1D,Crooked Creek Mine,901600000001199,351554110003887,,50,10,0,0,0,0,0,0,12,10,2,Gold,"62.027244, -158.222678",O-00000230,OI-0000000805,SC-0000000753,NS-0000000125,IC-0000000123,Classic 50/10/UG,,IP Access,Network Slice,,30-05-2022,12,12
Alaska Communications Internet LLC,ORD-80834-J7G6C7,Crooked Creek,901600000001244,351554110001444,acs.ba.mnc060.mcc901.gprs,50,10,0,0,0,0,0,0,12,10,2,Gold,"61.861, -158.1379",O-00000241,OI-0000000837,SC-0000000778,NS-0000000125,IC-0000000123,Classic 50/10/UG,,IP Access,Network Slice,,05-05-2022,12,12
Pacific Dataport Inc,SIX,SNP1-SIX,901600000000876,351554110020543,pdi.ba.mnc060.mcc901.gprs,100,20,0,0,0,12,6,6,12,10,2,Silver,"57.1855, -170.254",O-00000184,OI-0000000659,SC-0000000148,NS-0000000122,IC-0000000120,TRIAL PDI ENT+ 100/20/2500S,,Business Access,Network Slice,"11/05/2022, 11:00",12-03-2022,2,23.86
Pacific Dataport Inc,ATB.1,Bethel,901600000000875,351554110006211,pdi.ba.mnc060.mcc901.gprs,75,15,0,0,0,0,0,0,18,15,3,Gold,"60.796242, -161.791428",O-00000171,OI-0000000604,SC-0000000569,NS-0000000122,IC-0000000120,TRIAL Classic 75/15/UG,,IP Access,Network Slice,"16/03/2022, 17:00",14-03-2022,2,18
Pacific Dataport Inc,NET,SYA1-NET,901600000000119,351554110002624,pdi.ba.mnc060.mcc901.gprs,75,15,0,0,0,0,0,0,90,75,15,Palladium,"52.7235, -174.1126",O-00000068,OI-0000000267,SC-0000000206,NS-0000000122,IC-0000000120,Trial PDI-IPC 75/15/UPD,,IP Access,Network Slice,"22/01/2022, 00:00",30-12-2021,2,90
Pacific Dataport Inc,RSE,ANK,901600000000056,351554110001626,pdi.ba.mnc060.mcc901.gprs,75,15,0,0,0,0,0,0,90,75,15,Palladium,"60.199, -154.309",O-00000063,OI-0000000241,SC-0000000184,NS-0000000122,IC-0000000120,Trial PDI-IPC 75/15/UPD,,IP Access,Network Slice,"23/12/2021, 18:45",19-10-2021,2,90
Pacific Dataport Inc,RSE,TLF,901600000000127,351554110001055,pdi.ba.mnc060.mcc901.gprs,75,15,0,0,0,0,0,0,90,75,15,Palladium,"62.855782, -152.62072",O-00000064,OI-0000000243,SC-0000000186,NS-0000000122,IC-0000000120,Trial PDI-IPC 75/15/UPD,,IP Access,Network Slice,"16/12/2021, 13:30",19-10-2021,2,90
Pacific Dataport Inc,ERA,DUT1-ERA,901600000001336,351554110000479,pdi.ba.mnc060.mcc901.gprs,75,15,0,0,0,0,0,0,90,75,15,Palladium,"53.896, -166.5416",O-00000052,OI-0000000207,SC-0000000150,NS-0000000122,IC-0000000120,Trial PDI-IPC 75/15/UPD,,IP Access,Network Slice,"13/12/2021, 23:40",19-10-2021,2,90
Pacific Dataport Inc,SIX,SNP1-SIX,901600000000876,351554110020543,,75,15,0,0,0,0,0,0,90,75,15,Palladium,"57.1855, -170.254",O-00000184,OI-0000000657,SC-0000000148,NS-0000000122,IC-0000000120,Trial PDI-IPC 75/15/UPD,,IP Access,Network Slice,,12-10-2021,2,90
Pacific Dataport Inc,SIX,SNP1-SIX,901600000000876,351554110020543,pdi.ba.mnc060.mcc901.gprs,75,15,0,0,0,0,0,0,90,75,15,Palladium,"57.1855, -170.254",O-00000051,OI-0000000205,SC-0000000148,NS-0000000122,IC-0000000120,Trial PDI-IPC 75/15/UPD,,IP Access,Network Slice,"10/12/2021, 13:15",12-10-2021,2,90
Pacific Dataport Inc,NNK,CCH-NNK,901600000001311,351554110000966,pdi.ba.mnc060.mcc901.gprs,75,15,0,0,0,0,0,0,90,75,15,Palladium,"58.746, -156.957",O-00000048,OI-0000000196,SC-0000000139,NS-0000000122,IC-0000000120,Trial PDI-IPC 75/15/UPD,,IP Access,Network Slice,"21/12/2021, 11:30",21-10-2021,2,90
Pacific Dataport Inc,Akiak,AKIUS1 Beta,901600000001299,351554110001584,pdi.ba.mnc060.mcc901.gprs,75,15,0,0,0,0,0,0,90,75,15,Palladium,"60.912144, -161.213931",O-00000049,OI-0000000198,SC-0000000141,NS-0000000122,IC-0000000120,Trial PDI-IPC 75/15/UPD,,IP Access,Network Slice,"10/12/2021, 13:30",25-11-2021,2,90
Pacific Dataport Inc,ASTA,ANC,901600000001275,351554110001501,pdi.ba.mnc060.mcc901.gprs,75,15,0,0,0,0,0,0,90,75,15,Palladium,"61.181536, -149.884992",O-00000047,OI-0000000194,SC-0000000137,NS-0000000122,IC-0000000120,Trial PDI-IPC 75/15/UPD,,IP Access,Network Slice,"21/12/2021, 18:00",17-11-2021,3,90
Pacific Dataport Inc,ATO,SNP,901600000000136,351554110001485,pdi.ba.mnc060.mcc901.gprs,75,15,0,0,0,0,0,0,90,75,15,Palladium,"57.126, -170.2725",O-00000046,OI-0000000192,SC-0000000135,NS-0000000122,IC-0000000120,Trial PDI-IPC 75/15/UPD,,IP Access,Network Slice,"21/12/2021, 18:00",17-11-2021,3,90
